Furan all regions
Pressure (bar), Loading (molec/nm^3), dP (bar), dLoading (molec/nm^3),
1.000000e+00, 1.503888e-01, 0.000000e+00, 3.284607e-03,
2.000000e+00, 2.781257e-01, 0.000000e+00, 9.633316e-03,
4.000000e+00, 4.987822e-01, 0.000000e+00, 1.229213e-02,
8.000000e+00, 8.894550e-01, 0.000000e+00, 2.027540e-02,
1.600000e+01, 1.471287e+00, 0.000000e+00, 2.576407e-02,
3.200000e+01, 2.492173e+00, 0.000000e+00, 4.149714e-02,
6.400000e+01, 4.171481e+00, 0.000000e+00, 3.960936e-02,
C6CA all regions
Pressure (bar), Loading (molec/nm^3), dP (bar), dLoading (molec/nm^3),
1.562500e-02, 2.776746e-01, 0.000000e+00, 7.826079e-03,
3.125000e-02, 4.284705e-01, 0.000000e+00, 4.813417e-03,
6.250000e-02, 6.012967e-01, 0.000000e+00, 6.526645e-03,
1.250000e-01, 8.378722e-01, 0.000000e+00, 1.093951e-02,
2.500000e-01, 1.149098e+00, 0.000000e+00, 3.556539e-03,
5.000000e-01, 1.474315e+00, 0.000000e+00, 2.279906e-02,
1.000000e+00, 1.898648e+00, 0.000000e+00, 2.358922e-02,
2.000000e+00, 2.362810e+00, 0.000000e+00, 1.180891e-02,
4.000000e+00, 3.497442e+00, 0.000000e+00, 1.345094e-02,
8.000000e+00, 3.585506e+00, 0.000000e+00, 1.872148e-02,
1.600000e+01, 3.593224e+00, 0.000000e+00, 5.590961e-03,
3.200000e+01, 3.611923e+00, 0.000000e+00, 9.916811e-03,
6.400000e+01, 3.636694e+00, 0.000000e+00, 2.018418e-02,
Hexane all regions
Pressure (bar), Loading (molec/nm^3), dP (bar), dLoading (molec/nm^3),
1.562500e-02, 2.260197e-02, 0.000000e+00, 4.592441e-04,
3.125000e-02, 4.397071e-02, 0.000000e+00, 1.067550e-03,
6.250000e-02, 7.985647e-02, 0.000000e+00, 1.450784e-03,
1.250000e-01, 1.407099e-01, 0.000000e+00, 2.053331e-03,
