C6CA micropore
Pressure (bar), Loading (molec/nm^3), dP (bar), dLoading (molec/nm^3),
1.562500e-02, 2.581317e-01, 0.000000e+00, 1.019970e-02,
3.125000e-02, 3.749566e-01, 0.000000e+00, 5.155713e-03,
6.250000e-02, 4.864048e-01, 0.000000e+00, 6.897588e-03,
1.250000e-01, 5.934681e-01, 0.000000e+00, 8.111603e-03,
2.500000e-01, 7.051251e-01, 0.000000e+00, 3.093516e-03,
5.000000e-01, 7.791455e-01, 0.000000e+00, 2.605325e-02,
1.000000e+00, 8.699744e-01, 0.000000e+00, 9.807594e-03,
2.000000e+00, 9.204002e-01, 0.000000e+00, 1.749521e-02,
4.000000e+00, 9.929590e-01, 0.000000e+00, 1.214872e-02,
8.000000e+00, 1.006292e+00, 0.000000e+00, 1.734727e-02,
1.600000e+01, 9.995153e-01, 0.000000e+00, 1.527475e-02,
3.200000e+01, 1.027620e+00, 0.000000e+00, 1.234982e-02,
6.400000e+01, 1.016501e+00, 0.000000e+00, 1.472194e-02,
C6CA surface
Pressure (bar), Loading (molec/nm^3), dP (bar), dLoading (molec/nm^3),
1.562500e-02, 1.203967e-01, 0.000000e+00, 5.129456e-03,
3.125000e-02, 2.319593e-01, 0.000000e+00, 1.377627e-02,
6.250000e-02, 4.264366e-01, 0.000000e+00, 1.037239e-02,
1.250000e-01, 8.050426e-01, 0.000000e+00, 1.863478e-02,
2.500000e-01, 1.353895e+00, 0.000000e+00, 2.359674e-02,
5.000000e-01, 2.014941e+00, 0.000000e+00, 1.380860e-02,
1.000000e+00, 2.796005e+00, 0.000000e+00, 4.758117e-02,
2.000000e+00, 3.472322e+00, 0.000000e+00, 1.208644e-02,
4.000000e+00, 3.884750e+00, 0.000000e+00, 1.421328e-02,
8.000000e+00, 3.943610e+00, 0.000000e+00, 2.425967e-02,
1.600000e+01, 3.975616e+00, 0.000000e+00, 1.291214e-02,
3.200000e+01, 3.935483e+00, 0.000000e+00, 2.109651e-02,
6.400000e+01, 3.974480e+00, 0.000000e+00, 2.532953e-02,
C6CA mesopore
Pressure (bar), Loading (molec/nm^3), dP (bar), dLoading (molec/nm^3),
1.562500e-02, 2.677077e-04, 0.000000e+00, 4.636834e-04,
3.125000e-02, 1.472393e-03, 0.000000e+00, 1.435423e-03,
6.250000e-02, 1.873954e-03, 0.000000e+00, 8.031232e-04,
1.250000e-01, 4.551031e-03, 0.000000e+00, 1.873954e-03,
2.500000e-01, 1.539319e-02, 0.000000e+00, 2.739920e-03,
5.000000e-01, 4.725041e-02, 0.000000e+00, 3.477625e-03,
1.000000e+00, 1.835136e-01, 0.000000e+00, 9.268837e-03,
2.000000e+00, 6.486558e-01, 0.000000e+00, 2.071061e-02,
4.000000e+00, 3.217579e+00, 0.000000e+00, 1.190321e-02,
8.000000e+00, 3.407684e+00, 0.000000e+00, 1.886408e-02,
1.600000e+01, 3.411480e+00, 0.000000e+00, 9.947315e-03,
3.200000e+01, 3.440312e+00, 0.000000e+00, 8.350593e-03,
6.400000e+01, 3.483948e+00, 0.000000e+00, 2.294491e-02,
C6CA micropore
Fluid density (molec/nm^3), Loading (molec/nm^3), dFluid density (molec/nm^3), dLoading (molec/nm^3),
2.164421e-04, 2.581317e-01, 5.574288e-08, 1.019970e-02,
4.331997e-04, 3.749566e-01, 7.109217e-08, 5.155713e-03,
8.665612e-04, 4.864048e-01, 3.066733e-07, 6.897588e-03,
1.735459e-03, 5.934681e-01, 3.743854e-07, 8.111603e-03,
