36DEO//ULoad_P_1_36DEO_micropore.dat
Pressure (bar), Loading (molec/nm^3), dP (bar), dLoading (molec/nm^3),
1.562500e-02, 5.220055e-04, 0.000000e+00, 3.462593e-04,
3.125000e-02, 3.132033e-04, 0.000000e+00, 1.808280e-04,
6.250000e-02, 1.044011e-03, 0.000000e+00, 3.616561e-04,
1.250000e-01, 2.610028e-03, 0.000000e+00, 6.176453e-04,
2.500000e-01, 3.967242e-03, 0.000000e+00, 3.616561e-04,
5.000000e-01, 1.002251e-02, 0.000000e+00, 2.189936e-03,
1.000000e+00, 1.555577e-02, 0.000000e+00, 1.079933e-03,
2.000000e+00, 3.038072e-02, 0.000000e+00, 1.365222e-03,
4.000000e+00, 3.205114e-02, 0.000000e+00, 7.455731e-04,
8.000000e+00, 3.455677e-02, 0.000000e+00, 2.217141e-03,
1.600000e+01, 3.058953e-02, 0.000000e+00, 2.529439e-03,
3.200000e+01, 3.841961e-02, 0.000000e+00, 3.906332e-03,
6.400000e+01, 3.413916e-02, 0.000000e+00, 3.253230e-03,
36DEO//ULoad_P_1_36DEO_surface.dat
Pressure (bar), Loading (molec/nm^3), dP (bar), dLoading (molec/nm^3),
1.562500e-02, 1.161058e-02, 0.000000e+00, 2.986485e-03,
3.125000e-02, 2.978367e-02, 0.000000e+00, 7.572120e-03,
6.250000e-02, 5.048080e-02, 0.000000e+00, 4.571231e-03,
1.250000e-01, 1.052525e-01, 0.000000e+00, 5.117021e-03,
2.500000e-01, 2.115146e-01, 0.000000e+00, 1.152246e-02,
5.000000e-01, 4.452407e-01, 0.000000e+00, 2.186466e-02,
1.000000e+00, 1.015674e+00, 0.000000e+00, 3.012820e-02,
2.000000e+00, 2.116155e+00, 0.000000e+00, 1.200976e-02,
4.000000e+00, 2.233523e+00, 0.000000e+00, 1.574443e-02,
8.000000e+00, 2.223932e+00, 0.000000e+00, 2.367087e-02,
1.600000e+01, 2.241095e+00, 0.000000e+00, 1.421328e-02,
3.200000e+01, 2.251696e+00, 0.000000e+00, 1.980206e-02,
6.400000e+01, 2.297381e+00, 0.000000e+00, 2.081377e-03,
36DEO//ULoad_P_1_36DEO_mesopore.dat
Pressure (bar), Loading (molec/nm^3), dP (bar), dLoading (molec/nm^3),
1.562500e-02, 5.354155e-04, 0.000000e+00, 5.354155e-04,
3.125000e-02, 1.873954e-03, 0.000000e+00, 1.391050e-03,
6.250000e-02, 1.338539e-03, 0.000000e+00, 1.166911e-03,
1.250000e-01, 5.889570e-03, 0.000000e+00, 1.930468e-03,
2.500000e-01, 1.552705e-02, 0.000000e+00, 5.051099e-03,
