Decane//ULoad_P_1_Decane_micropore.dat
Pressure (bar), Loading (molec/nm^3), dP (bar), dLoading (molec/nm^3),
1.562500e-02, 2.574531e-01, 0.000000e+00, 5.637660e-03,
3.125000e-02, 3.238522e-01, 0.000000e+00, 5.879924e-03,
6.250000e-02, 3.840917e-01, 0.000000e+00, 7.337103e-03,
1.250000e-01, 4.370230e-01, 0.000000e+00, 2.730443e-03,
2.500000e-01, 4.928776e-01, 0.000000e+00, 5.503632e-03,
5.000000e-01, 5.420506e-01, 0.000000e+00, 4.227923e-03,
1.000000e+00, 6.060745e-01, 0.000000e+00, 4.444794e-03,
2.000000e+00, 6.614854e-01, 0.000000e+00, 3.674304e-03,
4.000000e+00, 7.054122e-01, 0.000000e+00, 2.784913e-03,
8.000000e+00, 7.118485e-01, 0.000000e+00, 2.219991e-03,
1.600000e+01, 7.156696e-01, 0.000000e+00, 3.186372e-03,
3.200000e+01, 7.254181e-01, 0.000000e+00, 4.950167e-03,
6.400000e+01, 7.346184e-01, 0.000000e+00, 4.518440e-03,
Decane//ULoad_P_1_Decane_surface.dat
Pressure (bar), Loading (molec/nm^3), dP (bar), dLoading (molec/nm^3),
1.562500e-02, 9.591352e-03, 0.000000e+00, 1.128785e-03,
3.125000e-02, 2.120194e-02, 0.000000e+00, 5.389875e-03,
6.250000e-02, 4.417070e-02, 0.000000e+00, 5.946244e-03,
1.250000e-01, 8.859381e-02, 0.000000e+00, 1.149755e-02,
2.500000e-01, 1.506852e-01, 0.000000e+00, 1.403285e-02,
5.000000e-01, 2.814305e-01, 0.000000e+00, 2.138593e-02,
1.000000e+00, 5.553835e-01, 0.000000e+00, 1.393415e-02,
2.000000e+00, 1.235581e+00, 0.000000e+00, 2.127196e-02,
4.000000e+00, 1.971023e+00, 0.000000e+00, 1.529728e-02,
8.000000e+00, 2.054922e+00, 0.000000e+00, 1.201178e-02,
1.600000e+01, 2.072963e+00, 0.000000e+00, 7.838950e-03,
3.200000e+01, 2.084226e+00, 0.000000e+00, 5.883640e-03,
6.400000e+01, 2.106564e+00, 0.000000e+00, 1.200844e-02,
Decane//ULoad_P_1_Decane_mesopore.dat
Pressure (bar), Loading (molec/nm^3), dP (bar), dLoading (molec/nm^3),
1.562500e-02, 0.000000e+00, 0.000000e+00, 0.000000e+00,
3.125000e-02, 1.338539e-03, 0.000000e+00, 4.636834e-04,
6.250000e-02, 3.212493e-03, 0.000000e+00, 2.271575e-03,
1.250000e-01, 3.480201e-03, 0.000000e+00, 1.583780e-03,
2.500000e-01, 9.102063e-03, 0.000000e+00, 5.354155e-04,
5.000000e-01, 2.784160e-02, 0.000000e+00, 5.191046e-03,
1.000000e+00, 7.328499e-02, 0.000000e+00, 7.341552e-03,
2.000000e+00, 3.991522e-01, 0.000000e+00, 1.460879e-02,
4.000000e+00, 2.154077e+00, 0.000000e+00, 1.549886e-02,
8.000000e+00, 2.291471e+00, 0.000000e+00, 1.847951e-02,
1.600000e+01, 2.310585e+00, 0.000000e+00, 6.462522e-03,
3.200000e+01, 2.333173e+00, 0.000000e+00, 1.620085e-02,
6.400000e+01, 2.386882e+00, 0.000000e+00, 2.061893e-02,
Decane//ULoad_Dens_1_Decane_micropore.dat
Fluid density (molec/nm^3), Loading (molec/nm^3), dFluid density (molec/nm^3), dLoading (molec/nm^3),
2.166729e-04, 2.574531e-01, 1.745418e-07, 5.637660e-03,
4.329444e-04, 3.238522e-01, 2.315864e-07, 5.879924e-03,
8.672377e-04, 3.840917e-01, 5.914683e-07, 7.337103e-03,
1.736888e-03, 4.370230e-01, 1.452321e-06, 2.730443e-03,
3.486185e-03, 4.928776e-01, 2.994252e-06, 5.503632e-03,
7.011490e-03, 5.420506e-01, 8.865882e-06, 4.227923e-03,
1.423783e-02, 6.060745e-01, 2.863655e-06, 4.444794e-03,
2.933650e-02, 6.614854e-01, 2.171315e-05, 3.674304e-03,
6.287112e-02, 7.054122e-01, 5.079508e-05, 2.784913e-03,
2.235895e+00, 7.118485e-01, 5.776511e-03, 2.219991e-03,
2.260478e+00, 7.156696e-01, 1.855721e-03, 3.186372e-03,
2.294937e+00, 7.254181e-01, 2.097450e-03, 4.950167e-03,
2.353634e+00, 7.346184e-01, 2.033938e-03, 4.518440e-03,
Decane//ULoad_Dens_1_Decane_surface.dat
Fluid density (molec/nm^3), Loading (molec/nm^3), dFluid density (molec/nm^3), dLoading (molec/nm^3),
2.166729e-04, 9.591352e-03, 1.745418e-07, 1.128785e-03,
4.329444e-04, 2.120194e-02, 2.315864e-07, 5.389875e-03,
8.672377e-04, 4.417070e-02, 5.914683e-07, 5.946244e-03,
1.736888e-03, 8.859381e-02, 1.452321e-06, 1.149755e-02,
3.486185e-03, 1.506852e-01, 2.994252e-06, 1.403285e-02,
7.011490e-03, 2.814305e-01, 8.865882e-06, 2.138593e-02,
1.423783e-02, 5.553835e-01, 2.863655e-06, 1.393415e-02,
2.933650e-02, 1.235581e+00, 2.171315e-05, 2.127196e-02,
6.287112e-02, 1.971023e+00, 5.079508e-05, 1.529728e-02,
2.235895e+00, 2.054922e+00, 5.776511e-03, 1.201178e-02,
2.260478e+00, 2.072963e+00, 1.855721e-03, 7.838950e-03,
2.294937e+00, 2.084226e+00, 2.097450e-03, 5.883640e-03,
2.353634e+00, 2.106564e+00, 2.033938e-03, 1.200844e-02,
Decane//ULoad_Dens_1_Decane_mesopore.dat
Fluid density (molec/nm^3), Loading (molec/nm^3), dFluid density (molec/nm^3), dLoading (molec/nm^3),
2.166729e-04, 0.000000e+00, 1.745418e-07, 0.000000e+00,
4.329444e-04, 1.338539e-03, 2.315864e-07, 4.636834e-04,
8.672377e-04, 3.212493e-03, 5.914683e-07, 2.271575e-03,
1.736888e-03, 3.480201e-03, 1.452321e-06, 1.583780e-03,
3.486185e-03, 9.102063e-03, 2.994252e-06, 5.354155e-04,
7.011490e-03, 2.784160e-02, 8.865882e-06, 5.191046e-03,
1.423783e-02, 7.328499e-02, 2.863655e-06, 7.341552e-03,
2.933650e-02, 3.991522e-01, 2.171315e-05, 1.460879e-02,
6.287112e-02, 2.154077e+00, 5.079508e-05, 1.549886e-02,
2.235895e+00, 2.291471e+00, 5.776511e-03, 1.847951e-02,
2.260478e+00, 2.310585e+00, 1.855721e-03, 6.462522e-03,
2.294937e+00, 2.333173e+00, 2.097450e-03, 1.620085e-02,
2.353634e+00, 2.386882e+00, 2.033938e-03, 2.061893e-02,
