Hexane/PresScan//ULoad_P_1_Hex_micropore.dat
Pressure (bar), Loading (molec/nm^3), dP (bar), dLoading (molec/nm^3),
1.562500e-02, 2.407751e-02, 0.000000e+00, 1.989750e-03,
3.125000e-02, 4.596259e-02, 0.000000e+00, 2.322778e-03,
6.250000e-02, 8.378189e-02, 0.000000e+00, 2.050855e-03,
1.250000e-01, 1.462660e-01, 0.000000e+00, 3.393237e-03,
2.500000e-01, 2.338846e-01, 0.000000e+00, 3.542626e-03,
5.000000e-01, 3.322696e-01, 0.000000e+00, 3.163925e-03,
1.000000e+00, 4.327524e-01, 0.000000e+00, 5.096358e-03,
2.000000e+00, 5.286285e-01, 0.000000e+00, 4.648154e-03,
4.000000e+00, 6.372709e-01, 0.000000e+00, 7.353585e-03,
8.000000e+00, 7.444647e-01, 0.000000e+00, 5.458886e-03,
1.600000e+01, 8.597431e-01, 0.000000e+00, 6.268958e-03,
3.200000e+01, 9.503176e-01, 0.000000e+00, 8.342599e-03,
6.400000e+01, 9.855334e-01, 0.000000e+00, 6.360105e-03,
Hexane/PresScan//ULoad_P_1_Hex_surface.dat
Pressure (bar), Loading (molec/nm^3), dP (bar), dLoading (molec/nm^3),
1.562500e-02, 2.744894e-03, 0.000000e+00, 7.512730e-04,
3.125000e-02, 3.928037e-03, 0.000000e+00, 1.118931e-03,
6.250000e-02, 9.789661e-03, 0.000000e+00, 1.489436e-03,
1.250000e-01, 2.006612e-02, 0.000000e+00, 3.201404e-03,
2.500000e-01, 3.970631e-02, 0.000000e+00, 5.478147e-03,
5.000000e-01, 7.619446e-02, 0.000000e+00, 4.206405e-03,
1.000000e+00, 1.482650e-01, 0.000000e+00, 1.041703e-02,
2.000000e+00, 2.793166e-01, 0.000000e+00, 7.107691e-03,
4.000000e+00, 5.365794e-01, 0.000000e+00, 1.663256e-02,
8.000000e+00, 1.066438e+00, 0.000000e+00, 1.288339e-02,
1.600000e+01, 2.001595e+00, 0.000000e+00, 1.500368e-02,
3.200000e+01, 2.861599e+00, 0.000000e+00, 9.223059e-03,
6.400000e+01, 3.052795e+00, 0.000000e+00, 1.693998e-02,
Hexane/PresScan//ULoad_P_1_Hex_mesopore.dat
Pressure (bar), Loading (molec/nm^3), dP (bar), dLoading (molec/nm^3),
1.562500e-02, 3.513664e-04, 0.000000e+00, 1.328040e-04,
3.125000e-02, 5.521472e-04, 0.000000e+00, 1.944052e-04,
6.250000e-02, 1.089967e-03, 0.000000e+00, 5.033976e-04,
1.250000e-01, 2.610150e-03, 0.000000e+00, 7.239255e-04,
2.500000e-01, 4.467373e-03, 0.000000e+00, 6.790281e-04,
5.000000e-01, 1.109314e-02, 0.000000e+00, 8.965149e-04,
1.000000e+00, 2.064319e-02, 0.000000e+00, 1.558672e-03,
2.000000e+00, 4.683212e-02, 0.000000e+00, 4.249432e-03,
4.000000e+00, 1.038539e-01, 0.000000e+00, 3.835583e-03,
8.000000e+00, 2.786336e-01, 0.000000e+00, 1.333710e-02,
1.600000e+01, 9.665588e-01, 0.000000e+00, 4.191176e-02,
3.200000e+01, 2.613564e+00, 0.000000e+00, 2.656080e-02,
