Tetra//ULoad_P_1_Tetra_micropore.dat
Pressure (bar), Loading (molec/nm^3), dP (bar), dLoading (molec/nm^3),
1.562500e-02, 3.523537e-01, 0.000000e+00, 6.238785e-03,
3.125000e-02, 3.817949e-01, 0.000000e+00, 2.973141e-03,
6.250000e-02, 4.122800e-01, 0.000000e+00, 3.854367e-03,
1.250000e-01, 4.549800e-01, 0.000000e+00, 3.787329e-03,
2.500000e-01, 4.817067e-01, 0.000000e+00, 1.214109e-02,
5.000000e-01, 5.173075e-01, 0.000000e+00, 5.014515e-03,
1.000000e+00, 5.461222e-01, 0.000000e+00, 7.402179e-03,
2.000000e+00, 5.587499e-01, 0.000000e+00, 4.904107e-03,
4.000000e+00, 5.619912e-01, 0.000000e+00, 1.097503e-02,
8.000000e+00, 5.553095e-01, 0.000000e+00, 5.092163e-03,
1.600000e+01, 5.569799e-01, 0.000000e+00, 1.177235e-02,
3.200000e+01, 5.472706e-01, 0.000000e+00, 1.907886e-02,
6.400000e+01, 5.566667e-01, 0.000000e+00, 9.681761e-03,
Tetra//ULoad_P_1_Tetra_surface.dat
Pressure (bar), Loading (molec/nm^3), dP (bar), dLoading (molec/nm^3),
1.562500e-02, 4.972359e-02, 0.000000e+00, 4.861645e-03,
3.125000e-02, 8.884621e-02, 0.000000e+00, 1.175238e-02,
6.250000e-02, 1.615386e-01, 0.000000e+00, 1.099045e-02,
1.250000e-01, 3.253488e-01, 0.000000e+00, 2.014652e-02,
2.500000e-01, 6.592793e-01, 0.000000e+00, 2.376354e-02,
5.000000e-01, 1.534869e+00, 0.000000e+00, 1.759421e-02,
1.000000e+00, 1.601251e+00, 0.000000e+00, 1.811691e-02,
2.000000e+00, 1.608610e+00, 0.000000e+00, 2.489243e-03,
4.000000e+00, 1.596455e+00, 0.000000e+00, 1.566329e-02,
8.000000e+00, 1.599232e+00, 0.000000e+00, 1.750163e-02,
1.600000e+01, 1.624220e+00, 0.000000e+00, 3.112153e-02,
3.200000e+01, 1.675205e+00, 0.000000e+00, 3.775866e-02,
6.400000e+01, 1.682273e+00, 0.000000e+00, 3.076742e-02,
Tetra//ULoad_P_1_Tetra_mesopore.dat
Pressure (bar), Loading (molec/nm^3), dP (bar), dLoading (molec/nm^3),
1.562500e-02, 5.354155e-04, 0.000000e+00, 5.354155e-04,
3.125000e-02, 2.141662e-03, 0.000000e+00, 1.514384e-03,
6.250000e-02, 5.889570e-03, 0.000000e+00, 1.606246e-03,
1.250000e-01, 1.686559e-02, 0.000000e+00, 5.735447e-03,
2.500000e-01, 8.459564e-02, 0.000000e+00, 1.434674e-02,
5.000000e-01, 1.722432e+00, 0.000000e+00, 1.380708e-02,
1.000000e+00, 1.840491e+00, 0.000000e+00, 2.365997e-02,
2.000000e+00, 1.856475e+00, 0.000000e+00, 1.130577e-02,
4.000000e+00, 1.860836e+00, 0.000000e+00, 6.872324e-03,
8.000000e+00, 1.866994e+00, 0.000000e+00, 1.224452e-02,
1.600000e+01, 1.858159e+00, 0.000000e+00, 7.918901e-03,
3.200000e+01, 1.866994e+00, 0.000000e+00, 1.108969e-02,
6.400000e+01, 1.899119e+00, 0.000000e+00, 5.589902e-03,
Tetra//ULoad_Dens_1_Tetra_micropore.dat
Fluid density (molec/nm^3), Loading (molec/nm^3), dFluid density (molec/nm^3), dLoading (molec/nm^3),
2.165751e-04, 3.523537e-01, 2.649632e-07, 6.238785e-03,
4.334244e-04, 3.817949e-01, 2.926437e-07, 2.973141e-03,
8.685543e-04, 4.122800e-01, 1.012165e-06, 3.854367e-03,
1.743237e-03, 4.549800e-01, 3.066053e-06, 3.787329e-03,
3.515510e-03, 4.817067e-01, 3.244792e-06, 1.214109e-02,
7.160048e-03, 5.173075e-01, 8.893937e-06, 5.014515e-03,
1.478677e-02, 5.461222e-01, 7.264835e-05, 7.402179e-03,
1.803261e+00, 5.587499e-01, 4.655369e-03, 4.904107e-03,
1.808264e+00, 5.619912e-01, 1.796828e-03, 1.097503e-02,
1.807848e+00, 5.553095e-01, 4.384286e-03, 5.092163e-03,
1.820747e+00, 5.569799e-01, 2.702175e-03, 1.177235e-02,
1.837605e+00, 5.472706e-01, 3.555098e-03, 1.907886e-02,
1.858462e+00, 5.566667e-01, 3.249931e-03, 9.681761e-03,
Tetra//ULoad_Dens_1_Tetra_surface.dat
Fluid density (molec/nm^3), Loading (molec/nm^3), dFluid density (molec/nm^3), dLoading (molec/nm^3),
2.165751e-04, 4.972359e-02, 2.649632e-07, 4.861645e-03,
4.334244e-04, 8.884621e-02, 2.926437e-07, 1.175238e-02,
8.685543e-04, 1.615386e-01, 1.012165e-06, 1.099045e-02,
1.743237e-03, 3.253488e-01, 3.066053e-06, 2.014652e-02,
3.515510e-03, 6.592793e-01, 3.244792e-06, 2.376354e-02,
